nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
         1, 0.000000000E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 4.941216957E-06
         2, 1.995394230E-01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 5.687123576E-06
         3, 3.997859061E-01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 7.395486136E-06
         4, 6.007517576E-01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 9.581382983E-06
         5, 8.012610674E-01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.255780808E-05
         6, 1.001430988E+00, 0.000000000E+00, 4.999999702E-01, 0.000000000E+00, 0.000000000E+00, 1.805828288E-05
         7, 1.201285839E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.032239354E-05
         8, 1.400625229E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.361662726E-05
         9, 1.601020813E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 8.928795978E-06
        10, 1.800657749E+00, 0.000000000E+00, 4.999999702E-01, 0.000000000E+00, 0.000000000E+00, 1.307882667E-05
        11, 2.000612259E+00, 0.000000000E+00, 4.999999702E-01, 0.000000000E+00, 0.000000000E+00, 1.859624535E-05
        12, 2.200309038E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.058140308E-05
        13, 2.400193691E+00, 0.000000000E+00, 4.999999702E-01, 0.000000000E+00, 0.000000000E+00, 2.008724550E-05
        14, 2.600085497E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.820243415E-05
        15, 2.800000906E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.429977783E-05
        16, 2.999992847E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 8.435832569E-06
        17, 3.199899435E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 3.061629513E-06
        18, 3.399841309E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 5.356224619E-07
        19, 3.599719286E+00, 0.000000000E+00, 4.999999702E-01, 0.000000000E+00, 0.000000000E+00, 3.090000078E-08
        20, 3.799840689E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.197126037E-09
        21, 3.999942780E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.354598766E-09
        22, 4.200187683E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.307123521E-09
        23, 4.400397301E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.166268193E-09
        24, 4.600432873E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.075263767E-09
        25, 4.800360203E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 9.946651280E-10
        26, 5.000062466E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 9.229115805E-10
