cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
         1, 9.979868680E-02, 1.490030289E+01, 5.000000000E-01, 3.435709979E-03, 3.613390625E-01, 1.530521826E-21
         2, 9.907115251E-02, 1.470041466E+01, 5.000000000E-01, 3.627112135E-03, 3.707875013E-01, 8.786171204E-23
         3, 2.996456325E-01, 1.490056324E+01, 5.000000000E-01, 8.661582135E-03, 4.586296082E-01, 2.554063525E-22
         4, 2.983039916E-01, 1.470107174E+01, 5.000000000E-01, 9.102872573E-03, 4.670616984E-01, 2.554063525E-22
         5, 9.848719090E-02, 1.449983501E+01, 5.000000000E-01, 3.779326566E-03, 3.769069314E-01, 3.304639622E-23
         6, 5.000271797E-01, 1.490110779E+01, 5.000000000E-01, 1.190680172E-02, 4.854378104E-01, 2.554064029E-22
         7, 4.993770719E-01, 1.470271492E+01, 5.000000000E-01, 1.245315932E-02, 4.922856092E-01, 2.554064029E-22
         8, 2.963654101E-01, 1.450027084E+01, 5.000000000E-01, 9.170834906E-03, 4.721341133E-01, 2.554064029E-22
         9, 9.830769897E-02, 1.429921913E+01, 5.000000000E-01, 3.840217832E-03, 3.851330876E-01, 2.554063525E-22
        10, 7.004836202E-01, 1.490149975E+01, 5.000000000E-01, 1.419283077E-02, 4.894830585E-01, 4.498530965E-20
        11, 4.975526333E-01, 1.450182343E+01, 5.000000000E-01, 1.254740916E-02, 4.962556362E-01, 2.554064282E-22
        12, 7.004390955E-01, 1.470398903E+01, 5.000000000E-01, 1.488373615E-02, 4.965551198E-01, 2.554064029E-22
        13, 2.953260839E-01, 1.429942703E+01, 5.000000000E-01, 9.164328687E-03, 4.788302183E-01, 2.554064029E-22
        14, 9.845243394E-02, 1.409882736E+01, 5.000000000E-01, 3.791905940E-03, 3.932478726E-01, 2.554063777E-22
        15, 9.006530643E-01, 1.490145016E+01, 5.000000000E-01, 1.610149071E-02, 4.915673733E-01, 5.628635843E-17
        16, 6.998627782E-01, 1.450345802E+01, 5.000000000E-01, 1.517490204E-02, 5.008621216E-01, 2.554064029E-22
        17, 4.959707260E-01, 1.430020905E+01, 5.000000000E-01, 1.242891233E-02, 5.015008450E-01, 2.554064282E-22
        18, 9.006216526E-01, 1.470403957E+01, 5.000000000E-01, 1.706878282E-02, 4.993079007E-01, 3.141946915E-18
        19, 2.957062125E-01, 1.409918690E+01, 5.000000000E-01, 8.869637735E-03, 4.855212867E-01, 2.554064029E-22
        20, 9.880789369E-02, 1.389849281E+01, 5.000000000E-01, 3.631139640E-03, 4.013959467E-01, 8.276887967E-24
        21, 1.100657463E+00, 1.490139771E+01, 5.000000000E-01, 1.776196621E-02, 4.945534766E-01, 3.242496967E-15
