cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
         1, 2.099973679E+00, 1.119307423E+01, 5.000000000E-01,-2.640286982E-01,-7.178175449E-02, 7.993072359E-05
         2, 2.308402538E+00, 1.159442997E+01, 5.000000000E-01,-2.844145298E-01,-9.213671088E-02, 6.828204641E-05
         3, 2.105853081E+00, 1.138842201E+01, 5.000000000E-01,-2.783482373E-01,-7.796587795E-02, 7.389325765E-05
         4, 1.901860714E+00, 1.118224525E+01, 5.000000000E-01,-2.712241709E-01,-6.269733608E-02, 7.073285815E-05
         5, 2.310378075E+00, 1.179032040E+01, 5.000000000E-01,-2.932546437E-01,-9.426078200E-02, 5.481043263E-05
         6, 2.108044386E+00, 1.158440590E+01, 5.000000000E-01,-2.883628309E-01,-8.269369602E-02, 6.328181189E-05
         7, 1.905337930E+00, 1.137737656E+01, 5.000000000E-01,-2.845853567E-01,-6.910386682E-02, 6.736317300E-05
         8, 1.702098012E+00, 1.117162132E+01, 5.000000000E-01,-2.779237032E-01,-5.597079545E-02, 6.193988520E-05
         9, 1.895446181E+00, 1.098801708E+01, 5.000000000E-01,-2.517254651E-01,-5.503686517E-02, 6.564640353E-05
        10, 2.310321808E+00, 1.198406506E+01, 5.000000000E-01,-3.013686240E-01,-9.539008886E-02, 4.246076423E-05
        11, 2.108401537E+00, 1.177927017E+01, 5.000000000E-01,-2.959547341E-01,-8.614231646E-02, 5.142269220E-05
        12, 1.906066418E+00, 1.157274628E+01, 5.000000000E-01,-2.934589088E-01,-7.437456399E-02, 5.886421059E-05
        13, 1.703581691E+00, 1.136690903E+01, 5.000000000E-01,-2.909618914E-01,-6.220334023E-02, 6.100031169E-05
        14, 1.699067593E+00, 1.097651672E+01, 5.000000000E-01,-2.581745088E-01,-4.883974791E-02, 5.487010276E-05
        15, 1.502546549E+00, 1.116189003E+01, 5.000000000E-01,-2.837792039E-01,-5.169596523E-02, 5.378889182E-05
        16, 1.889109015E+00, 1.079428101E+01, 5.000000000E-01,-2.236471921E-01,-4.528570175E-02, 5.033161142E-05
        17, 2.107574940E+00, 1.197308731E+01, 5.000000000E-01,-3.030219078E-01,-8.863250911E-02, 4.029121556E-05
        18, 2.309776545E+00, 1.217692375E+01, 5.000000000E-01,-3.104646802E-01,-9.584649652E-02, 3.229725553E-05
        19, 1.905330896E+00, 1.176714706E+01, 5.000000000E-01,-2.999524772E-01,-7.868034393E-02, 4.859080218E-05
        20, 1.703855395E+00, 1.156300163E+01, 5.000000000E-01,-2.991701663E-01,-6.764470041E-02, 5.460560715E-05
        21, 1.502724409E+00, 1.135826302E+01, 5.000000000E-01,-2.969232202E-01,-5.740767345E-02, 5.484530993E-05
        22, 1.501485348E+00, 1.096571922E+01, 5.000000000E-01,-2.634858787E-01,-4.540483281E-02, 4.557134525E-05
        23, 1.694997311E+00, 1.078165436E+01, 5.000000000E-01,-2.301657945E-01,-4.041993245E-02, 3.991161429E-05
        24, 1.302216768E+00, 1.135268784E+01, 5.000000000E-01,-3.021585643E-01,-5.464500189E-02, 4.899995110E-05
        25, 1.302497864E+00, 1.115525055E+01, 5.000000000E-01,-2.887173891E-01,-4.977801442E-02, 4.654585427E-05
        26, 1.883940458E+00, 1.060228157E+01, 4.999999702E-01,-1.906776577E-01,-3.403140604E-02, 3.009155262E-05
        27, 2.106343746E+00, 1.216618156E+01, 5.000000000E-01,-3.111225665E-01,-9.025771171E-02, 3.092201950E-05
        28, 1.904221296E+00, 1.196159458E+01, 5.000000000E-01,-3.059344888E-01,-8.206194639E-02, 3.853390444E-05
        29, 2.308334112E+00, 1.236827087E+01, 5.000000000E-01,-3.220098019E-01,-9.557314217E-02, 2.480283001E-05
        30, 1.703272820E+00, 1.175855732E+01, 5.000000000E-01,-3.047882318E-01,-7.229879498E-02, 4.583148257E-05
        31, 1.502624750E+00, 1.155522633E+01, 5.000000000E-01,-3.048248291E-01,-6.257354468E-02, 5.037828669E-05
        32, 1.498886824E+00, 1.077044868E+01, 5.000000000E-01,-2.352924943E-01,-3.847641870E-02, 3.181953798E-05
        33, 1.302322626E+00, 1.095840073E+01, 5.000000000E-01,-2.679345012E-01,-4.460659251E-02, 3.805054803E-05
        34, 1.690263629E+00, 1.058666420E+01, 5.000000000E-01,-1.968648136E-01,-3.122955561E-02, 2.287372445E-05
        35, 1.100831509E+00, 1.134913921E+01, 5.000000000E-01,-3.063838780E-01,-5.366388336E-02, 4.358544902E-05
        36, 1.301920891E+00, 1.155058193E+01, 5.000000000E-01,-3.099929094E-01,-5.916637182E-02, 4.619376341E-05
        37, 1.101509809E+00, 1.115195465E+01, 5.000000000E-01,-2.926811576E-01,-4.992647842E-02, 4.032744619E-05
        38, 2.104947567E+00, 1.235881519E+01, 5.000000000E-01,-3.214972615E-01,-9.095869958E-02, 2.375417898E-05
        39, 1.903431416E+00, 1.215681171E+01, 5.000000000E-01,-3.128997684E-01,-8.456600457E-02, 2.977007716E-05
        40, 1.702489853E+00, 1.195368481E+01, 5.000000000E-01,-3.097103834E-01,-7.615037262E-02, 3.681975068E-05
        41, 2.304871082E+00, 1.274727058E+01, 5.000000000E-01,-3.547299206E-01,-9.187319130E-02, 1.752427306E-05
        42, 2.306493282E+00, 1.255793762E+01, 5.000000000E-01,-3.367307782E-01,-9.436848760E-02, 2.000019049E-05
        43, 1.502292395E+00, 1.175248432E+01, 5.000000000E-01,-3.098191917E-01,-6.717773527E-02, 4.306130359E-05
        44, 1.100420952E+00, 1.154689026E+01, 5.000000000E-01,-3.143250644E-01,-5.723523721E-02, 4.205761797E-05
        45, 1.495692134E+00, 1.057454109E+01, 5.000000000E-01,-2.018519640E-01,-3.127451986E-02, 1.804828389E-05
        46, 1.301080227E+00, 1.076224613E+01, 5.000000000E-01,-2.394428104E-01,-3.919438273E-02, 2.594967373E-05
        47, 1.101981044E+00, 1.095481968E+01, 5.000000000E-01,-2.714760900E-01,-4.603525251E-02, 3.223182284E-05
        48, 1.686764598E+00, 1.039075661E+01, 5.000000000E-01,-1.617936939E-01,-2.218926325E-02, 1.079707545E-05
        49, 8.986498713E-01, 1.134495926E+01, 5.000000000E-01,-3.092779219E-01,-5.407684669E-02, 3.862992526E-05
        50, 1.301717162E+00, 1.174872398E+01, 5.000000000E-01,-3.145867586E-01,-6.330955029E-02, 4.021691348E-05
        51, 9.002088308E-01, 1.114904308E+01, 5.000000000E-01,-2.952614129E-01,-5.160865188E-02, 3.507149813E-05
        52, 1.902942657E+00, 1.235190010E+01, 5.000000000E-01,-3.219743371E-01,-8.599662036E-02, 2.286645577E-05
        53, 2.104088783E+00, 1.255122948E+01, 5.000000000E-01,-3.348819911E-01,-9.045972675E-02, 1.888335646E-05
        54, 2.103239775E+00, 1.274362659E+01, 5.000000000E-01,-3.514475822E-01,-8.849586546E-02, 1.607627200E-05
        55, 1.702287555E+00, 1.215019703E+01, 5.000000000E-01,-3.154793680E-01,-7.913490385E-02, 2.868289630E-05
