cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
         1, 9.850630909E-02, 1.189998436E+01, 5.000000000E-01,-7.467731833E-03, 9.913664460E-01, 2.034334911E-18
         2, 2.958759367E-01, 1.189999008E+01, 5.000000000E-01,-2.170220017E-02, 1.035065055E+00, 6.939898101E-18
         3, 9.839288145E-02, 1.169998646E+01, 5.000000000E-01,-7.690313272E-03, 9.772547483E-01, 1.493087165E-18
         4, 4.959054589E-01, 1.190001678E+01, 5.000000000E-01,-3.619912639E-02, 1.034828305E+00, 1.418998397E-17
         5, 2.957780063E-01, 1.169999886E+01, 5.000000000E-01,-2.230225317E-02, 1.019457102E+00, 5.552295179E-18
         6, 9.841486812E-02, 1.149979591E+01, 5.000000000E-01,-7.907629013E-03, 9.627676606E-01, 8.993021800E-19
         7, 4.959131479E-01, 1.170003796E+01, 5.000000000E-01,-3.715996444E-02, 1.019304156E+00, 1.806401654E-17
         8, 2.958306670E-01, 1.149982452E+01, 5.000000000E-01,-2.285606414E-02, 1.003525019E+00, 2.999559560E-18
         9, 9.841687977E-02, 1.129965591E+01, 5.000000000E-01,-8.096353151E-03, 9.479455948E-01, 5.617531915E-19
        10, 4.959500432E-01, 1.149995232E+01, 5.000000000E-01,-3.800439835E-02, 1.003425837E+00, 8.896642644E-18
        11, 6.987745166E-01, 1.170020866E+01, 5.000000000E-01,-5.293878913E-02, 1.021585345E+00, 2.554062515E-22
        12, 2.958341241E-01, 1.129968643E+01, 5.000000000E-01,-2.331777290E-02, 9.873789549E-01, 1.745988642E-18
        13, 9.846674651E-02, 1.109971142E+01, 4.999999702E-01,-8.245381527E-03, 9.327710867E-01, 2.947623733E-19
        14, 4.959515929E-01, 1.129987240E+01, 5.000000000E-01,-3.870135918E-02, 9.872735143E-01, 5.324081011E-18
        15, 6.987801194E-01, 1.150020313E+01, 5.000000000E-01,-5.413528159E-02, 1.005507708E+00, 2.554062010E-22
        16, 9.006844759E-01, 1.170044518E+01, 5.000000000E-01,-6.878045946E-02, 1.024892688E+00, 2.554062262E-22
        17, 2.958486974E-01, 1.109972000E+01, 4.999999702E-01,-2.367914654E-02, 9.710085988E-01, 7.014626011E-19
        18, 9.843163192E-02, 1.089983749E+01, 5.000000000E-01,-8.364995942E-03, 9.174725413E-01, 1.312941393E-19
        19, 4.959143400E-01, 1.109986877E+01, 5.000000000E-01,-3.922560066E-02, 9.708729386E-01, 1.309390307E-18
        20, 6.987779737E-01, 1.130019283E+01, 5.000000000E-01,-5.511445180E-02, 9.891257882E-01, 2.554062010E-22
        21, 9.006757140E-01, 1.150045013E+01, 5.000000000E-01,-7.035193592E-02, 1.008545399E+00, 2.554062262E-22
        22, 2.957599461E-01, 1.089983177E+01, 5.000000000E-01,-2.395500802E-02, 9.545812011E-01, 2.130145691E-19
        23, 9.833167493E-02, 1.070000076E+01, 5.000000000E-01,-8.445121348E-03, 9.018461704E-01, 3.883504732E-20
        24, 4.958510399E-01, 1.089992523E+01, 5.000000000E-01,-3.960176185E-02, 9.543855190E-01, 2.554062010E-22
        25, 6.987718940E-01, 1.110017586E+01, 5.000000000E-01,-5.584744364E-02, 9.724960923E-01, 3.222764167E-19
        26, 9.006499052E-01, 1.130045795E+01, 5.000000000E-01,-7.162483782E-02, 9.918614626E-01, 2.554062262E-22
        27, 1.101196408E+00, 1.150067234E+01, 5.000000000E-01,-8.678197116E-02, 1.012374282E+00, 2.554062515E-22
        28, 2.956148684E-01, 1.069999695E+01, 5.000000000E-01,-2.410274930E-02, 9.380253553E-01, 8.921670396E-21
        29, 9.832620621E-02, 1.050013828E+01, 5.000000000E-01,-8.482349105E-03, 8.861795068E-01, 4.230031208E-21
        30, 4.957840443E-01, 1.070003414E+01, 5.000000000E-01,-3.978150338E-02, 9.377721548E-01, 2.554061758E-22
