cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
         1, 3.521976233E+00, 7.183182716E+00, 5.000000000E-01, 1.368045211E+00, 2.131228102E-03, 1.551860623E-04
         2, 3.522697926E+00, 7.382371902E+00, 5.000000000E-01, 1.027758598E+00, 6.166407838E-03, 1.518642966E-04
         3, 3.320381165E+00, 7.183490753E+00, 5.000000000E-01, 1.371528387E+00,-1.041291049E-03, 1.557259675E-04
         4, 3.524239540E+00, 7.582590103E+00, 5.000000000E-01, 8.814741373E-01, 5.662931129E-03, 1.492579322E-04
         5, 3.320983648E+00, 7.383126736E+00, 5.000000000E-01, 1.028521538E+00,-1.423157752E-03, 1.523315295E-04
         6, 3.724534750E+00, 7.382042408E+00, 5.000000000E-01, 1.023228526E+00, 1.326859184E-02, 1.514461765E-04
         7, 3.118814945E+00, 7.184003353E+00, 5.000000000E-01, 1.369613767E+00,-4.528335296E-03, 1.563105761E-04
         8, 3.725727320E+00, 7.582230091E+00, 5.000000000E-01, 8.802868724E-01, 1.620077901E-02, 1.488662820E-04
         9, 3.526040077E+00, 7.784289360E+00, 5.000000000E-01, 6.979483962E-01, 1.517137280E-03, 1.465733221E-04
        10, 3.322737694E+00, 7.583275795E+00, 5.000000000E-01, 8.782037497E-01,-5.746189039E-03, 1.497058693E-04
        11, 3.119508266E+00, 7.384463310E+00, 5.000000000E-01, 1.024865031E+00,-1.013779826E-02, 1.528504217E-04
        12, 2.917356968E+00, 7.184506416E+00, 5.000000000E-01, 1.361830354E+00,-8.268574253E-03, 1.569127780E-04
        13, 3.727391958E+00, 7.784137726E+00, 5.000000000E-01, 7.027486563E-01, 1.625569724E-02, 1.462049549E-04
        14, 3.324648857E+00, 7.784350395E+00, 5.000000000E-01, 6.891047359E-01,-1.437513996E-02, 1.470235875E-04
        15, 3.527007580E+00, 7.985696793E+00, 5.000000000E-01, 4.953880310E-01,-9.035766125E-03, 1.441377826E-04
        16, 3.121473789E+00, 7.584589481E+00, 5.000000000E-01, 8.701617122E-01,-1.846674271E-02, 1.502155937E-04
        17, 2.918186903E+00, 7.385921001E+00, 5.000000000E-01, 1.016718149E+00,-2.014485747E-02, 1.534111798E-04
        18, 2.716694117E+00, 7.184835911E+00, 5.000000000E-01, 1.348441958E+00,-1.230175979E-02, 1.575581409E-04
        19, 3.728394508E+00, 7.985696793E+00, 5.000000000E-01, 5.073524714E-01, 9.895355441E-03, 1.437845058E-04
        20, 3.123383760E+00, 7.784840584E+00, 5.000000000E-01, 6.751085520E-01,-3.192375600E-02, 1.475507888E-04
        21, 3.325577736E+00, 7.985381126E+00, 5.000000000E-01, 4.795273542E-01,-2.939954773E-02, 1.445956004E-04
        22, 3.527268410E+00, 8.186058044E+00, 5.000000000E-01, 2.846854925E-01,-2.646143921E-02, 1.421482302E-04
        23, 2.920217037E+00, 7.586332321E+00, 5.000000000E-01, 8.567039967E-01,-3.280184790E-02, 1.507847483E-04
        24, 2.717484236E+00, 7.386817932E+00, 5.000000000E-01, 1.004413128E+00,-3.124731593E-02, 1.540468656E-04
        25, 2.515975475E+00, 7.185029984E+00, 5.000000000E-01, 1.329009891E+00,-1.676984131E-02, 1.582664263E-04
        26, 3.728590488E+00, 8.186117172E+00, 5.000000000E-01, 3.039730489E-01,-3.287136322E-03, 1.417712774E-04
        27, 3.929781914E+00, 7.985695362E+00, 5.000000000E-01, 5.149078965E-01, 2.778997831E-02, 1.435181330E-04
        28, 3.124191523E+00, 7.985380650E+00, 5.000000000E-01, 4.583877623E-01,-5.179180205E-02, 1.451572170E-04
        29, 2.922102928E+00, 7.786121368E+00, 5.000000000E-01, 6.553671956E-01,-5.142112821E-02, 1.481597574E-04
        30, 3.325840712E+00, 8.185865402E+00, 5.000000000E-01, 2.608701289E-01,-5.149234831E-02, 1.426502131E-04
        31, 3.527432680E+00, 8.386407852E+00, 5.000000000E-01, 7.104359567E-02,-5.125664175E-02, 1.407992531E-04
        32, 2.718965769E+00, 7.587652206E+00, 5.000000000E-01, 8.383776546E-01,-4.879356921E-02, 1.514437317E-04
        33, 2.516721725E+00, 7.387221336E+00, 5.000000000E-01, 9.867832661E-01,-4.346651956E-02, 1.547675056E-04
        34, 2.314838171E+00, 7.185116768E+00, 5.000000000E-01, 1.302439213E+00,-2.184297144E-02, 1.590242027E-04
        35, 3.929980278E+00, 8.186116219E+00, 5.000000000E-01, 3.189041913E-01, 1.859139279E-02, 1.415054867E-04
        36, 3.124395847E+00, 8.185918808E+00, 5.000000000E-01, 2.317934185E-01,-7.888761908E-02, 1.432908612E-04
        37, 2.922827244E+00, 7.986005783E+00, 5.000000000E-01, 4.316991270E-01,-7.647298276E-02, 1.458371262E-04
        38, 2.720488071E+00, 7.787373543E+00, 5.000000000E-01, 6.299669147E-01,-7.325925678E-02, 1.488773414E-04
        39, 3.325966835E+00, 8.386314392E+00, 5.000000000E-01, 3.893261030E-02,-8.115658164E-02, 1.414206054E-04
