cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
         1, 1.030101204E+01, 1.089085960E+01, 5.000000000E-01,-1.482881010E-01, 2.950517519E-04, 4.295099061E-04
         2, 1.029975033E+01, 1.069165230E+01, 5.000000000E-01,-1.497246325E-01, 4.399303813E-03, 3.705523559E-04
         3, 1.010115433E+01, 1.089110756E+01, 5.000000000E-01,-1.506139040E-01, 1.433249936E-02, 4.791385145E-04
         4, 1.010053444E+01, 1.069167805E+01, 5.000000000E-01,-1.526201963E-01, 1.702049933E-02, 4.164270358E-04
         5, 1.029798889E+01, 1.049309540E+01, 5.000000000E-01,-1.498994231E-01, 8.721546270E-03, 3.189908457E-04
         6, 9.900966644E+00, 1.089338398E+01, 5.000000000E-01,-1.510976553E-01, 3.148075566E-02, 5.225560744E-04
         7, 1.009924126E+01, 1.049216080E+01, 5.000000000E-01,-1.531113088E-01, 2.019703202E-02, 3.598375479E-04
         8, 9.900876045E+00, 1.069343853E+01, 5.000000000E-01,-1.539831907E-01, 3.233916312E-02, 4.585193819E-04
         9, 1.029565144E+01, 1.029478836E+01, 5.000000000E-01,-1.490984261E-01, 1.307406556E-02, 2.741128555E-04
        10, 9.700651169E+00, 1.089728260E+01, 5.000000000E-01,-1.495046765E-01, 5.153482407E-02, 5.556866527E-04
        11, 1.009732342E+01, 1.029337883E+01, 5.000000000E-01,-1.524097025E-01, 2.359939180E-02, 3.100798931E-04
        12, 9.900352478E+00, 1.049305058E+01, 5.000000000E-01,-1.550379246E-01, 3.394030407E-02, 3.989238758E-04
        13, 9.700754166E+00, 1.069734573E+01, 5.000000000E-01,-1.534838080E-01, 5.039830878E-02, 4.939420032E-04
        14, 1.029297543E+01, 1.009656620E+01, 5.000000000E-01,-1.475413442E-01, 1.732626930E-02, 2.352353476E-04
        15, 9.500345230E+00, 1.089993572E+01, 5.000000000E-01,-1.458585709E-01, 7.416741550E-02, 5.759710912E-04
        16, 9.898977280E+00, 1.029377747E+01, 5.000000000E-01,-1.546693146E-01, 3.610930592E-02, 3.455480910E-04
        17, 1.009490967E+01, 1.009534740E+01, 5.000000000E-01,-1.508168131E-01, 2.709527127E-02, 2.669134992E-04
        18, 9.700566292E+00, 1.049680901E+01, 5.000000000E-01,-1.553871036E-01, 5.023325607E-02, 4.341946915E-04
        19, 9.500278473E+00, 1.070010567E+01, 5.000000000E-01,-1.510108560E-01, 7.097272575E-02, 5.192270037E-04
        20, 1.029088783E+01, 9.898125648E+00, 5.000000000E-01,-1.453847885E-01, 2.136447839E-02, 2.016588551E-04
        21, 1.049131393E+01, 1.009811020E+01, 5.000000000E-01,-1.436266005E-01, 9.075748734E-03, 2.044525463E-04
        22, 9.300240517E+00, 1.089818478E+01, 5.000000000E-01,-1.404726803E-01, 9.860254079E-02, 5.826572888E-04
        23, 9.897016525E+00, 1.009538269E+01, 5.000000000E-01,-1.532064378E-01, 3.853550553E-02, 2.984032617E-04
        24, 9.699788094E+00, 1.029686546E+01, 5.000000000E-01,-1.555954665E-01, 5.075853318E-02, 3.787591704E-04
        25, 1.009266949E+01, 9.896682739E+00, 5.000000000E-01,-1.485199481E-01, 3.051150031E-02, 2.292528661E-04
        26, 9.500104904E+00, 1.049953270E+01, 5.000000000E-01,-1.539110541E-01, 6.885733455E-02, 4.618917883E-04
        27, 9.300163269E+00, 1.069818020E+01, 5.000000000E-01,-1.467054337E-01, 9.343484044E-02, 5.323003861E-04
        28, 1.028972626E+01, 9.699132919E+00, 5.000000000E-01,-1.427224427E-01, 2.510764077E-02, 1.724897884E-04
        29, 1.049012852E+01, 9.899354935E+00, 5.000000000E-01,-1.416464746E-01, 1.349263918E-02, 1.746621856E-04
        30, 9.100542068E+00, 1.089354420E+01, 5.000000000E-01,-1.335969120E-01, 1.241512895E-01, 5.778950290E-04
        31, 8.901062965E+00, 1.109157181E+01, 5.000000000E-01,-1.152079478E-01, 1.596782357E-01, 5.958661786E-04
        32, 9.698262215E+00, 1.009803581E+01, 5.000000000E-01,-1.544819474E-01, 5.186834186E-02, 3.289930464E-04
        33, 9.894796371E+00, 9.896845818E+00, 5.000000000E-01,-1.509179473E-01, 4.109278694E-02, 2.572273079E-04
        34, 9.499767303E+00, 1.029927063E+01, 5.000000000E-01,-1.549196988E-01, 6.765258312E-02, 4.068530397E-04
        35, 1.009077644E+01, 9.697988510E+00, 5.000000000E-01,-1.456971318E-01, 3.376519307E-02, 1.967946737E-04
        36, 9.299997330E+00, 1.049785995E+01, 5.000000000E-01,-1.506219655E-01, 8.939990401E-02, 4.794820561E-04
        37, 9.100499153E+00, 1.069343758E+01, 5.000000000E-01,-1.407351196E-01, 1.172089577E-01, 5.343118100E-04
        38, 1.048980141E+01, 9.699595451E+00, 5.000000000E-01,-1.392060071E-01, 1.759829372E-02, 1.489215501E-04
        39, 1.028949070E+01, 9.499612808E+00, 5.000000000E-01,-1.396790147E-01, 2.856422961E-02, 1.474405144E-04
        40, 8.901023865E+00, 1.089107895E+01, 5.000000000E-01,-1.253071576E-01, 1.502914131E-01, 5.648183287E-04
        41, 8.701008797E+00, 1.109153843E+01, 5.000000000E-01,-1.052689776E-01, 1.870369315E-01, 5.706688971E-04
        42, 9.498928070E+00, 1.009972095E+01, 5.000000000E-01,-1.543669701E-01, 6.715019047E-02, 3.559168545E-04
        43, 9.696339607E+00, 9.899000168E+00, 5.000000000E-01,-1.523738950E-01, 5.330727249E-02, 2.847767319E-04
        44, 9.892410278E+00, 9.698106766E+00, 5.000000000E-01,-1.480157822E-01, 4.364630952E-02, 2.215012646E-04
        45, 9.299982071E+00, 1.029709053E+01, 5.000000000E-01,-1.525008678E-01, 8.634509146E-02, 4.268173361E-04
        46, 1.008948708E+01, 9.499376297E+00, 5.000000000E-01,-1.424677521E-01, 3.677244857E-02, 1.688433258E-04
        47, 9.100372314E+00, 1.049307919E+01, 5.000000000E-01,-1.456075311E-01, 1.113151684E-01, 4.869980330E-04
        48, 8.900934219E+00, 1.069056129E+01, 5.000000000E-01,-1.332168132E-01, 1.417810023E-01, 5.276537850E-04
        49, 1.048999310E+01, 9.499414444E+00, 5.000000000E-01,-1.363908648E-01, 2.138389833E-02, 1.267890475E-04
        50, 1.069038105E+01, 9.699405670E+00, 5.000000000E-01,-1.352675706E-01, 1.115146093E-02, 1.265145838E-04
        51, 1.028967571E+01, 9.299398422E+00, 5.000000000E-01,-1.363256574E-01, 3.172994033E-02, 1.259147393E-04
        52, 8.700931549E+00, 1.089099407E+01, 5.000000000E-01,-1.158035100E-01, 1.765207499E-01, 5.451338366E-04
        53, 8.500926971E+00, 1.109148407E+01, 5.000000000E-01,-9.466217458E-02, 2.134739608E-01, 5.411893944E-04
        54, 9.299762726E+00, 1.009704781E+01, 5.000000000E-01,-1.526746005E-01, 8.410926908E-02, 3.766547889E-04
        55, 9.497787476E+00, 9.899978638E+00, 5.000000000E-01,-1.526232213E-01, 6.715112925E-02, 3.097448207E-04
        56, 9.694108963E+00, 9.699401855E+00, 5.000000000E-01,-1.495192200E-01, 5.489655212E-02, 2.459596726E-04
